,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
47,312.8154,500000.0,C,3p6.3d8.(3F).4s,b 4F,9/2,3p6.3d8.(3F).4p,y 2F*,7/2,10.0,8.0
48,313.7634,230000.0,C,3p6.3d7.4s2,a 4F,9/2,3p6.3d7.(4F).4s.4p.(3P*),z 2F*,7/2,10.0,8.0
49,313.8235,4700000.0,C+,3p6.3d7.4s2,a 4F,3/2,3p6.3d8.(3F).4p,y 4G*,5/2,4.0,6.0
50,314.0851,2500000.0,C,3p6.3d7.4s2,a 4F,7/2,3p6.3d8.(3F).4p,y 4D*,5/2,8.0,6.0
51,314.7968,4500000.0,C+,3p6.3d7.4s2,a 4F,5/2,3p6.3d8.(3F).4p,*,7/2,6.0,8.0
52,315.0217,2800000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d8.(3F).4p,y 4D*,3/2,6.0,4.0
53,315.9684,2200000.0,C+,3p6.3d7.4s2,a 4F,7/2,3p6.3d8.(3F).4p,y 4G*,9/2,8.0,10.0
54,318.7264,190000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d7.(4F).4s.4p.(3P*),z 2F*,5/2,6.0,6.0
55,319.0673,310000.0,C,3p6.3d7.4s2,a 4F,3/2,3p6.3d8.(3F).4p,y 4D*,3/2,4.0,4.0
56,319.4082,330000.0,C,3p6.3d8.(3F).4s,b 4F,7/2,3p6.3d8.(3F).4p,y 2F*,7/2,8.0,8.0
57,320.024,170000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d8.(3F).4p,y 4D*,5/2,6.0,6.0
58,320.3947,100000.0,C,3p6.3d7.4s2,a 4F,7/2,3p6.3d8.(3F).4p,y 4D*,7/2,8.0,8.0
59,322.0078,480000.0,C+,3p6.3d7.4s2,a 4F,7/2,3p6.3d7.(4F).4s.4p.(3P*),z 2F*,7/2,8.0,8.0
60,323.7955,710000.0,C,3p6.3d7.4s2,a 4F,7/2,3p6.3d7.(4F).4s.4p.(3P*),z 2G*,9/2,8.0,10.0
61,325.0935,990000.0,C,3p6.3d8.(3F).4s,b 4F,5/2,3p6.3d8.(3F).4p,y 2F*,7/2,6.0,8.0
62,333.8129,340000.0,C,3p6.3d8.(3F).4s,b 4F,9/2,3p6.3d8.(3F).4p,y 2G*,9/2,10.0,10.0
63,335.534,11000000.0,C+,3p6.3d8.(3F).4s,b 4F,7/2,3p6.3d8.(3F).4p,*,5/2,8.0,6.0
64,336.8076,6000000.0,C+,3p6.3d8.(3F).4s,b 4F,9/2,3p6.3d8.(3F).4p,*,7/2,10.0,8.0
65,337.129,2100000.0,C,3p6.3d8.(3F).4s,b 4F,5/2,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,3/2,6.0,4.0
66,338.6189,11000000.0,C+,3p6.3d8.(3F).4s,b 4F,7/2,3p6.3d8.(3F).4p,y 4G*,5/2,8.0,6.0
