,ritz_wl_vac(nm),Aki(s^-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
81,646.4489199999999,65500000.0,3d7.(4F).5p,5F*,nan,3d7.(4F).5d,5F,nan,35.0,20.0
82,986.1585,64687.5,3d7.(4F<9/2>).4f,2[11/2]*,nan,3d7.(4F<9/2>).5g,2[15/2],nan,24.0,32.0
83,996.50485,33675000.0,3d7.(4F<9/2>).4f,2[3/2]*,nan,3d7.(4F<9/2>).5g,2[1/2],nan,8.0,4.0
84,1712.1974,770833.3333333334,3d7.(4F).4d,e 3G,nan,3d7.(4F).5p,3D*,nan,27.0,12.0
85,247.94565,46000000.0,3d7.(2D2).4p,y 1P*,nan,3d7.(2D2).4d,3D,nan,3.0,15.0
86,254.75029,122000000.0,3d7.(2G).4s,b 1G,nan,3d7.(2G).4p,z 1G*,nan,9.0,9.0
87,233.15665166666668,253703703.7037037,3d7.(2G).4p,y 3G*,nan,3d7.(2G).4d,3G,nan,27.0,27.0
88,219.13403,48060606.06060606,3d7.(2H).4p,z 3I*,nan,3d7.(2H).4d,3H,nan,39.0,33.0
89,279.45297700000003,64066666.666666664,3d7.(4P).4p,z 5P*,nan,3d7.(4P).5s,5P,nan,15.0,15.0
90,232.68300833333333,475151515.1515151,3d7.(4F).4p,z 3G*,nan,3d7.(4F).4d,e 3H,nan,27.0,33.0
91,1578.4591,950000.0,3d7.(4F).4d,e 3D,nan,3d7.(4F).5p,3D*,nan,15.0,12.0
92,232.33284099999997,126190476.1904762,3d7.(4P).4p,z 5P*,nan,3d7.(4P).4d,3F,nan,15.0,21.0
93,510.5537,12770000.0,3d7.(4F).4d,e 5G,nan,3d7.(4F<9/2>).4f,2[9/2]*,nan,45.0,20.0
94,993.1555,25575000.0,3d7.(4F<9/2>).4f,2[5/2]*,nan,3d7.(4F<9/2>).5g,2[1/2],nan,12.0,4.0
95,258.394014,36866666.666666664,3d7.(2P).4s,c 3P,nan,3d7.(4P).4p,y 3D*,nan,9.0,15.0
96,518.13478,41410000.0,3d7.(4F).4d,e 3G,nan,3d7.(4F<7/2>).4f,2[9/2]*,nan,27.0,20.0
97,559.53691,5950000.0,3d7.(4F).4d,e 3P,nan,3d7.(4F<5/2>).4f,2[7/2]*,nan,9.0,16.0
98,226.235599625,625885714.2857143,3d7.(4P).4p,y 5D*,nan,3d7.(4P).4d,5F,nan,25.0,35.0
99,228.260374,370000000.0,3d7.(2H).4s,a 1H,nan,3d7.(2H).4p,y 1H*,nan,11.0,11.0
100,1768.5499,205714.2857142857,3d7.(4F).4d,e 3D,nan,3d7.(4F).5p,3F*,nan,15.0,21.0
