,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
719,3d6.4s.(4D).4d,3F,4,9.0,7.352499,1.1e-06,,                                                     ,,4
720,3d6.4s.(4D).4d,3F,3,7.0,7.379876,4e-07,,                                                     ,,4
721,3d6.4s.(4D).4d,3F,2,5.0,7.416184,4e-07,,                                                     ,,4
722,3d6.4s.(6D<9/2>).5g,2[13/2],6,13.0,7.3559386,5e-07,,                                                     ,,5
723,3d6.4s.(6D<9/2>).5g,2[13/2],7,15.0,7.355939,5e-07,,                                                     ,,5
724,3d6.4s.(6D<9/2>).5g,2[11/2],5,11.0,7.3559695,4e-07,,                                                     ,,5
725,3d6.4s.(6D<9/2>).5g,2[11/2],6,13.0,7.3559696,5e-07,,                                                     ,,5
726,3d6.4s.(6D<9/2>).5g,2[15/2],8,17.0,7.3561403,6e-07,,                                                     ,,5
727,3d6.4s.(6D<9/2>).5g,2[15/2],7,15.0,7.3561404,5e-07,,                                                     ,,5
728,3d6.4s.(6D<9/2>).5g,2[9/2],5,11.0,7.3561424,5e-07,,                                                     ,,5
729,3d6.4s.(6D<9/2>).5g,2[9/2],4,9.0,7.3561426,5e-07,,                                                     ,,5
730,3d6.4s.(6D<9/2>).5g,2[7/2],4,9.0,7.3563866,5e-07,,                                                     ,,5
731,3d6.4s.(6D<9/2>).5g,2[7/2],3,7.0,7.3563868,5e-07,,                                                     ,,5
732,3d6.4s.(6D<9/2>).5g,2[5/2],3,7.0,7.3566421,4e-07,,                                                     ,,5
733,3d6.4s.(6D<9/2>).5g,2[5/2],2,5.0,7.3566422,6e-07,,                                                     ,,5
734,3d6.4s.(6D<9/2>).5g,2[17/2],8,17.0,7.3566917,2.5e-06,,                                                     ,,5
735,3d6.4s.(6D<9/2>).5g,2[17/2],9,19.0,7.3566929,2.5e-06,,                                                     ,,5
736,3d6.4s.(6D<9/2>).5g,2[3/2],1,3.0,7.3568605,6e-07,,                                                     ,,5
737,3d6.4s.(6D<9/2>).5g,2[3/2],2,5.0,7.3568609,6e-07,,                                                     ,,5
738,3d6.4s.(6D<9/2>).5g,2[1/2],1,3.0,7.3570065,9e-07,,                                                     ,,5
739,3d6.4s.(6D<9/2>).5g,2[1/2],0,1.0,7.3570083,1.9e-06,,                                                     ,,5
740,3d6.4s.(6D<7/2>).6d,2[9/2],5,11.0,7.3725361,1.6e-06,,                                                     ,,6
741,3d6.4s.(6D<7/2>).6d,2[9/2],4,9.0,7.381131,4e-06,,                                                     ,,6
742,3d6.4s.(6D<7/2>).6d,2[7/2],4,9.0,7.374038,4e-06,,                                                     ,,6
743,3d6.4s.(6D<7/2>).6d,2[7/2],3,7.0,7.3795772,1.4e-06,,                                                     ,,6
744,3d6.(3P2).4s.4p.(1P*),3S*,1,3.0,7.3771377,4e-07,,  71             :    19  3d7.(2P).4s           3S*  ,,4
745,3d6.4s.(6D<7/2>).6d,2[5/2],2,5.0,7.378812,4e-06,,                                                     ,,6
746,3d6.4s.(6D<7/2>).6d,2[5/2],3,7.0,7.3818449,1.9e-06,,                                                     ,,6
747,3d6.(5D).4p2.(3P),7F,5,11.0,7.380021,6e-06,,                                                     ,,4
748,3d6.(5D).4p2.(3P),7F,4,9.0,7.3974805,2.1e-06,,                                                     ,,4
749,3d6.(5D).4p2.(3P),7F,2,5.0,7.5051495,1.2e-06,,                                                     ,,4
750,3d6.4s.(6D<7/2>).6d,2[11/2],6,13.0,7.3821585,1.9e-06,,                                                     ,,6
751,3d6.4s.(6D<7/2>).6d,2[11/2],5,11.0,7.384043,4e-06,,                                                     ,,6
752,3d6.4s.(6D<7/2>).6d,2[3/2],2,5.0,7.3856611,2.2e-06,,                                                     ,,6
753,3d6.4s.(6D<7/2>).6d,2[3/2],1,3.0,7.388324,5e-06,,                                                     ,,6
754,3d6.4s.(6D<7/2>).5f,2[11/2]*,5,11.0,7.3973888,4e-07,,                                                     ,,5
755,3d6.4s.(6D<7/2>).5f,2[13/2]*,7,15.0,7.3980136,4e-07,,                                                     ,,5
756,3d6.4s.(6D<7/2>).5f,2[13/2]*,6,13.0,7.3981475,1.1e-06,,                                                     ,,5
757,3d7.(4F<5/2>).4f,2[7/2]*,4,9.0,7.39831901,2.5e-07,,                                                     ,,4
758,3d7.(4F<5/2>).4f,2[7/2]*,3,7.0,7.3983804,6e-07,,                                                     ,,4
759,3d7.(4F<5/2>).4f,2[9/2]*,5,11.0,7.3983355,4e-07,,                                                     ,,4
760,3d7.(4F<5/2>).4f,2[9/2]*,4,9.0,7.3985231,4e-07,,                                                     ,,4
761,3d7.(4F<5/2>).4f,2[5/2]*,3,7.0,7.39928211,2.5e-07,,                                                     ,,4
762,3d7.(4F<5/2>).4f,2[5/2]*,2,5.0,7.3994149,6e-07,,                                                     ,,4
763,3d7.(4F<5/2>).4f,2[11/2]*,5,11.0,7.3996464,5e-07,,                                                     ,,4
764,3d7.(4F<5/2>).4f,2[3/2]*,2,5.0,7.40029668,2.5e-07,,                                                     ,,4
765,3d6.4s.(6D<7/2>).5g,2[11/2],5,11.0,7.4039391,4e-07,,                                                     ,,5
766,3d6.4s.(6D<7/2>).5g,2[11/2],6,13.0,7.4039392,5e-07,,                                                     ,,5
767,3d6.4s.(6D<7/2>).5g,2[9/2],5,11.0,7.4039569,5e-07,,                                                     ,,5
768,3d6.4s.(6D<7/2>).5g,2[9/2],4,9.0,7.4039579,5e-07,,                                                     ,,5
769,3d6.4s.(6D<7/2>).5g,2[13/2],6,13.0,7.4039747,5e-07,,                                                     ,,5
770,3d6.4s.(6D<7/2>).5g,2[13/2],7,15.0,7.4039753,6e-07,,                                                     ,,5
771,3d6.4s.(6D<7/2>).5g,2[7/2],3,7.0,7.4040042,5e-07,,                                                     ,,5
772,3d6.4s.(6D<7/2>).5g,2[7/2],4,9.0,7.4040052,5e-07,,                                                     ,,5
773,3d6.4s.(6D<7/2>).5g,2[5/2],2,5.0,7.404059,5e-07,,                                                     ,,5
774,3d6.4s.(6D<7/2>).5g,2[5/2],3,7.0,7.4040596,5e-07,,                                                     ,,5
775,3d6.4s.(6D<7/2>).5g,2[15/2],7,15.0,7.4040814,1.2e-06,,                                                     ,,5
776,3d6.4s.(6D<7/2>).5g,2[15/2],8,17.0,7.4040815,9e-07,,                                                     ,,5
777,3d6.4s.(6D<7/2>).5g,2[3/2],2,5.0,7.404105,1.6e-06,,                                                     ,,5
778,3d6.4s.(6D<7/2>).5g,2[3/2],1,3.0,7.404105,1.9e-06,,                                                     ,,5
779,3d6.4s.(6D<5/2>).6d,2[9/2],5,11.0,7.4041781,1.2e-06,,                                                     ,,6
780,3d6.4s.(6D<5/2>).6d,2[9/2],4,9.0,7.4050683,1.6e-06,,                                                     ,,6
781,3d6.4s.(6D<5/2>).6d,2[1/2],1,3.0,7.405473,4e-06,,                                                     ,,6
782,3d6.4s.(6D<5/2>).6d,2[3/2],1,3.0,7.4101537,2.5e-06,,                                                     ,,6
783,3d6.4s.(6D<5/2>).6d,2[3/2],2,5.0,7.4118354,1.2e-06,,                                                     ,,6
784,3d6.4s.(6D<5/2>).6d,2[5/2],3,7.0,7.4168171,2.1e-06,,                                                     ,,6
785,3d6.4s.(6D<5/2>).6d,2[5/2],2,5.0,7.4196563,1.7e-06,,                                                     ,,6
786,3d6.4s.(6D<5/2>).6d,2[7/2],4,9.0,7.424005,5e-06,,                                                     ,,6
787,3d6.4s.(6D<5/2>).6d,2[7/2],3,7.0,7.425004,4e-06,,                                                     ,,6
788,3d7.(4F<3/2>).4f,2[7/2]*,4,9.0,7.4324836,2.5e-07,,                                                     ,,4
789,3d7.(4F<3/2>).4f,2[7/2]*,3,7.0,7.4325209,4e-07,,                                                     ,,4
790,3d7.(4F<3/2>).4f,2[5/2]*,2,5.0,7.4325757,4e-07,,                                                     ,,4
791,3d7.(4F<3/2>).4f,2[5/2]*,3,7.0,7.4331667,4e-07,,                                                     ,,4
792,3d7.(4F<3/2>).4f,2[9/2]*,5,11.0,7.4341523,2.5e-07,,                                                     ,,4
793,3d7.(4F<3/2>).4f,2[9/2]*,4,9.0,7.4342111,4e-07,,                                                     ,,4
794,3d6.4s.(6D<3/2>).6d,2[1/2],1,3.0,7.4351489,2.5e-06,,                                                     ,,6
795,3d6.4s.(6D<5/2>).5g,2[3/2],2,5.0,7.4388198,6e-07,,                                                     ,,5
796,3d6.4s.(6D<5/2>).5g,2[3/2],1,3.0,7.4388203,1.7e-06,,                                                     ,,5
797,3d6.4s.(6D<5/2>).5g,2[13/2],6,13.0,7.438954,5e-07,,                                                     ,,5
798,3d6.4s.(6D<5/2>).5g,2[13/2],7,15.0,7.4389546,9e-07,,                                                     ,,5
799,3d6.4s.(6D<5/2>).5g,2[5/2],2,5.0,7.4389768,7e-07,,                                                     ,,5
800,3d6.4s.(6D<5/2>).5g,2[5/2],3,7.0,7.4389773,6e-07,,                                                     ,,5
801,3d6.4s.(6D<3/2>).6d,2[3/2],1,3.0,7.439026,4e-06,,                                                     ,,6
802,3d6.4s.(6D<3/2>).6d,2[3/2],2,5.0,7.443396,4e-06,,                                                     ,,6
803,3d6.4s.(6D<5/2>).5g,2[7/2],3,7.0,7.4391399,2.5e-06,,                                                     ,,5
804,3d6.4s.(6D<5/2>).5g,2[7/2],4,9.0,7.4391406,9e-07,,                                                     ,,5
805,3d6.4s.(6D<5/2>).5g,2[11/2],5,11.0,7.4392182,5e-07,,                                                     ,,5
806,3d6.4s.(6D<5/2>).5g,2[11/2],6,13.0,7.4392189,5e-07,,                                                     ,,5
807,3d6.4s.(6D<5/2>).5g,2[9/2],4,9.0,7.4392457,9e-07,,                                                     ,,5
808,3d6.4s.(6D<5/2>).5g,2[9/2],5,11.0,7.4392477,5e-07,,                                                     ,,5
809,3d6.4s.(6D<3/2>).6d,2[5/2],3,7.0,7.4484653,1.5e-06,,                                                     ,,6
810,3d6.4s.(6D<3/2>).6d,2[5/2],2,5.0,7.4496531,2e-06,,                                                     ,,6
811,3d6.(3F2).4s.4p.(1P*),3F*,4,9.0,7.4509047,4e-07,,  32             :    33  3d6.(1D2).4s.4p.(3P*) 3F*  ,,4
812,3d6.(3F2).4s.4p.(1P*),3F*,3,7.0,7.4604347,4e-07,,  29             :    28  3d6.(1D2).4s.4p.(3P*) 3F*  ,,4
813,3d6.4s.(6D<3/2>).6d,2[7/2],3,7.0,7.4510813,1.6e-06,,                                                     ,,6
814,3d6.4s.(6D<1/2>).6d,2[3/2],2,5.0,7.4549963,2.5e-06,,                                                     ,,6
815,3d6.4s.(6D<1/2>).6d,2[3/2],1,3.0,7.4611526,2e-06,,                                                     ,,6
816,3d6.4s.(6D<3/2>).5g,2[5/2],2,5.0,7.462873,2.5e-06,,                                                     ,,5
817,3d6.4s.(6D<3/2>).5g,2[5/2],3,7.0,7.4628742,2.5e-06,,                                                     ,,5
818,3d6.4s.(6D<3/2>).5g,2[11/2],5,11.0,7.4630639,6e-07,,                                                     ,,5
819,3d6.4s.(6D<3/2>).5g,2[11/2],6,13.0,7.4630644,9e-07,,                                                     ,,5
820,3d6.4s.(6D<3/2>).5g,2[7/2],4,9.0,7.4634065,9e-07,,                                                     ,,5
821,3d6.4s.(6D<3/2>).5g,2[7/2],3,7.0,7.4634066,1.2e-06,,                                                     ,,5
822,3d6.4s.(6D<3/2>).5g,2[9/2],4,9.0,7.4635935,4e-07,,                                                     ,,5
