,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Reference,nQua
211,3s2.3p4.(3P).7s,2P,1/2,2.0,25.88366492,7e-08,,L15349,7
212,3s2.3p4.(3P).6d,4P,1/2,2.0,25.84843727,1.7e-07,,L15349,6
213,3s2.3p4.(3P).6d,4P,3/2,4.0,25.87489852,1e-07,,L15349,6
214,3s2.3p4.(3P).6d,4P,5/2,6.0,25.93733151,1e-07,,L15349,6
215,3s2.3p4.(1D<2>).4f,2[1]*,1/2,2.0,25.86208761,1.2e-07,,L15349,4
216,3s2.3p4.(1D<2>).4f,2[1]*,3/2,4.0,25.86213691,7e-08,,L15349,4
217,3s2.3p4.(1D<2>).4f,2[5]*,11/2,12.0,25.88831364,7e-08,,L15349,4
218,3s2.3p4.(1D<2>).4f,2[5]*,9/2,10.0,25.8883141,1e-07,,L15349,4
219,3s2.3p4.(3P<2>).7p,2[2]*,5/2,6.0,25.9020761,1e-06,,L15349,7
220,3s2.3p4.(1D<2>).4f,2[2]*,5/2,6.0,25.90293551,1.9e-07,,L15349,4
221,3s2.3p4.(1D<2>).4f,2[2]*,3/2,4.0,25.90321077,1.9e-07,,L15349,4
222,3s2.3p4.(3P).6d,2F,7/2,8.0,25.91464514,4e-08,,L15349,6
223,3s2.3p4.(3P).6d,2F,5/2,6.0,25.95946554,1e-07,,L15349,6
224,3s2.3p4.(1D<2>).4f,2[3]*,7/2,8.0,25.94352386,1.1e-07,,L15349,4
225,3s2.3p4.(1D<2>).4f,2[3]*,5/2,6.0,25.94387988,1.6e-07,,L15349,4
226,3s2.3p4.(1D<2>).4f,2[4]*,7/2,8.0,25.95459873,7e-08,,L15349,4
227,3s2.3p4.(1D<2>).4f,2[4]*,9/2,10.0,25.95464012,7e-08,,L15349,4
228,3s2.3p4.(3P).7p,1*,5/2,6.0,25.962013,4e-06,,L15349,7
229,3s2.3p4.(3P).7p,1*,3/2,4.0,25.962023,9e-06,,L15349,7
230,3s2.3p4.(3P).6d,2D,3/2,4.0,25.96396722,1.4e-07,,L15349,6
231,3s2.3p4.(3P).6d,2D,5/2,6.0,26.05226965,2.2e-07,,L15349,6
232,3s2.3p4.(3P).6d,2P,3/2,4.0,25.98677781,2.1e-07,,L15349,6
233,3s2.3p4.(3P<2>).6f,2[4]*,9/2,10.0,26.0910933,1.7e-06,,L15349,6
